,Sample,Study,ERBB2,EGFR
12174,TCGA-D8-A1X8-01,TCGA,13.98,10.41
12175,GTEX-X4XX-0011-R3B-SM-46MWK,GTEX,9.315,10.79
12176,GTEX-12WSK-2326-SM-5GCOH,GTEX,13.89,14.27
12177,TCGA-DX-A3U6-01,TCGA,9.208,10.99
12178,TCGA-VS-A9UZ-01,TCGA,12.85,9.539
12179,TCGA-KP-A3VZ-01,TCGA,14.19,9.726
12180,TCGA-2G-AAGA-01,TCGA,12.36,9.217
12181,TCGA-CQ-5329-01,TCGA,11.12,14.53
12182,GTEX-145MH-0626-SM-5NQAK,GTEX,12.52,11.44
12183,TCGA-C8-A1HM-01,TCGA,12.82,6.411
12184,GTEX-13X6J-0126-SM-5QGOU,GTEX,13.44,13.69
12185,TCGA-EL-A3ZP-01,TCGA,13.21,11.73
12186,GTEX-ZTPG-2026-SM-5O999,GTEX,11.13,11.34
12187,TCGA-D3-A51N-06,TCGA,10.2,5.617
12188,GTEX-13PVQ-0126-SM-5SIB4,GTEX,12.91,12.71
12189,TCGA-EE-A17Y-06,TCGA,11.68,6.93
12190,GTEX-X8HC-1426-SM-46MWC,GTEX,12.18,11.86
12191,TCGA-CZ-5467-01,TCGA,11.77,13.24
12192,TCGA-2Y-A9HA-01,TCGA,11.12,11.35
12193,TCGA-EE-A2GH-06,TCGA,10.84,6.654
12194,GTEX-11ZTS-0011-R3a-SM-5BC78,GTEX,10.2,11.43
12195,GTEX-13OW7-0626-SM-5K7UD,GTEX,12.43,12.2
12196,TCGA-DJ-A2QB-01,TCGA,12.46,11.06
12197,GTEX-VUSG-2826-SM-4KKZM,GTEX,12.33,12.19
12198,TARGET-51-PALFEF-01,TARGET,11.0,14.86
12199,GTEX-XLM4-0011-R6A-SM-4AT4B,GTEX,10.55,11.34
12200,GTEX-12WSB-0011-R11b-SM-57WBJ,GTEX,8.222,8.106
12201,GTEX-XYKS-2926-SM-4E3IA,GTEX,11.98,12.09
12202,GTEX-P78B-0008-SM-48TE1,GTEX,10.86,12.43
12203,TCGA-FD-A43Y-01,TCGA,12.66,12.87
12204,GTEX-145MO-0526-SM-5Q5F7,GTEX,13.01,13.34
12205,TCGA-51-4081-01,TCGA,12.3,13.16
12206,TCGA-B9-A8YI-01,TCGA,11.88,11.29
12207,TCGA-TM-A84C-01,TCGA,7.821,11.14
12208,TCGA-02-2485-01,TCGA,10.07,17.66
12209,TCGA-S3-A6ZG-01,TCGA,13.74,7.921
12210,GTEX-144GM-1926-SM-5LUAN,GTEX,9.213,12.01
12211,TCGA-KK-A8I8-01,TCGA,13.02,11.58
12212,TCGA-AO-A0J5-01,TCGA,13.64,10.25
12213,TCGA-A2-A0EM-01,TCGA,13.59,9.032
12214,GTEX-13N2G-0011-R3b-SM-5MR5G,GTEX,11.31,10.98
12215,TCGA-CH-5750-01,TCGA,12.58,12.1
12216,TCGA-A8-A08T-01,TCGA,13.89,8.927
12217,TCGA-CK-4948-01,TCGA,13.62,10.61
12218,TCGA-EJ-A65B-01,TCGA,13.83,10.68
12219,TCGA-WY-A85E-01,TCGA,10.23,12.93
12220,TCGA-10-0933-01,TCGA,12.65,9.852
12221,TCGA-EE-A29B-06,TCGA,11.47,4.351
12222,TARGET-20-PASCRZ-04,TARGET,5.703,0.0
12223,TCGA-12-1597-01,TCGA,9.917,15.23
12224,TCGA-24-1427-01,TCGA,13.41,11.09
12225,GTEX-14BMV-1426-SM-5S2WA,GTEX,11.4,12.83
12226,TCGA-A6-6651-01,TCGA,13.05,11.16
12227,TCGA-XJ-A83H-01,TCGA,13.46,12.33
12228,TCGA-A1-A0SD-01,TCGA,14.45,10.71
12229,TCGA-QR-A70E-01,TCGA,9.618,7.025
12230,TCGA-13-0900-01,TCGA,12.22,10.77
12231,GTEX-XV7Q-2326-SM-4BRVZ,GTEX,10.61,11.59
